ID,E,N,region,flurname,kultur,laufzeit,datum_on_1,datum_off_1,modus_1,lautstaerke_1,intervall_1,ausr_lautsprecher_1,installationshöhe,datum_on_2,datum_off_2,modus_2,lautstärke_2,intervall_2,ausr_lautsprecher_2,distanz zum wald,zaun,vergraemungsabschuss,jagddruck,schäden vorher,E_dec,N_dec
WSS_2014_01,"47°30'50.60""N "," 8° 5'45.31""E",elfingen,rüti,weizen&hafer,nacht,2014-04-01T00:00:00Z,2014-06-20T00:00:00Z,standard v1,100,15,80/280,1.8,2014-07-23T00:00:00Z,2014-09-19T00:00:00Z,standard v1,100,15,80/280,106,nein,NA,mittel,ja,47.51405555555556,8.095919444444444
WSS_2014_02,"47°29'58.24""N "," 8° 7'22.75""E",elfingen,steiacher,weizen,nacht,2014-04-26T00:00:00Z,2014-08-08T00:00:00Z,standard v1,50,4,45/225,1.95,NA,NA,NA,NA,NA,NA,36,nein,NA,mittel,ja,47.49951111111111,8.122986111111112
WSS_2014_03,"47°30'20.31""N "," 8° 6'36.32""E",elfingen,schlotterbode,weizen&sorgungras,nacht,2014-04-26T00:00:00Z,2014-08-08T00:00:00Z,standard v1,100,15,30/180,1.8,2014-09-19T00:00:00Z,2014-10-18T00:00:00Z,standard v1,50,20,30/180,87,nein,NA,mittel,nein,47.50564166666667,8.110088888888889
WSS_2014_04,"46°59'49.91""N "," 7° 3'23.42""E",fanel,tannenhof,kartoffeln&mais,nacht,2014-05-01T00:00:00Z,2014-10-28T00:00:00Z,standard v1,33,15,200/280,1.8,NA,NA,NA,NA,NA,NA,127,ja,NA,gering,ja,46.997197222222226,7.056505555555556
WSS_2014_05,"46°59'39.58""N "," 7° 3'31.55""E",fanel,tannenhof,karotten&kartoffeln,nacht,2014-05-01T00:00:00Z,2014-10-28T00:00:00Z,standard v1,50,15,200/280,1.8,NA,NA,NA,NA,NA,NA,127,nein,NA,gering,ja,46.99432777777778,7.058763888888889
WSS_2014_06,"47° 0'51.28""N "," 7° 2'21.15""E",fanel,fanelacher,kartoffeln&mais&zuckerrueben,nacht,2014-05-08T00:00:00Z,2014-05-24T00:00:00Z,standard v1,33,30,160/330,1.8,2014-05-24T00:00:00Z,2014-07-04T00:00:00Z,aggressiv v1,30,15,160/330,160,nein,NA,gering,ja,47.014244444444444,7.039208333333333
WSS_2014_07,"47°30'55.45""N "," 7°53'8.50""E",zuzgen,bämmich,mais&wiese,nacht,2014-05-02T00:00:00Z,2014-06-27T00:00:00Z,standard v1,50,15,60/315,1.8,2014-08-12T00:00:00Z,2014-11-01T00:00:00Z,standard v1,50,15,60/315,105,ja,NA,hoch,ja,47.51540277777778,7.885694444444444
WSS_2014_08,"47°36'3.38""N "," 8°12'31.32""E",felsenau,junkholz,biokartoffeln,nacht,2014-06-05T00:00:00Z,2014-09-02T00:00:00Z,standard v1,33,15,20/180,1.8,NA,NA,NA,NA,NA,NA,30,nein,NA,hoch,ja,47.60093888888889,8.208699999999999
WSS_2014_09,"47°34'0.28""N "," 8°11'39.27""E",felsenau,stelzacher,mais,nacht,2014-08-16T00:00:00Z,2014-09-21T00:00:00Z,standard v1,33,15,40/270,1.8,NA,NA,NA,NA,NA,NA,7,nein,NA,mittel,ja,47.566744444444446,8.194241666666667
WSS_2014_10,"47°33'44.92""N "," 8°12'6.21""E",felsenau,naeblete,mais,nacht,2014-08-09T00:00:00Z,2014-09-27T00:00:00Z,standard v1,33,15,90/250,1.8,NA,NA,NA,NA,NA,NA,60,nein,NA,mittel,ja,47.56247777777777,8.201725
WSS_2014_11a,"47°30'18.43""N "," 8° 6'40.29""E",elfingen,schlotterbode,getreide angesät,nacht,2014-09-19T00:00:00Z,2014-10-18T00:00:00Z,standard v1,100,15,250/ 340,1.8,NA,NA,NA,NA,NA,NA,6,nein,NA,mittel,nein,47.505119444444446,8.111191666666667
WSS_2015_01,"46°59'50.44""N "," 7° 3'20.05""E",fanel,tannenhof,weizen,nacht,2015-05-20T00:00:00Z,2015-06-12T00:00:00Z,standard v1,50,15,140/280,1.8,2015-06-12T00:00:00Z,2015-07-01T00:00:00Z,aggressiv v2,75,12.5,140/280,67,nein,ja 2x datum ?,gering,ja,46.997344444444444,7.055569444444444
WSS_2015_02,"47°36'7.53""N "," 8°12'34.69""E",felsenau,junkholz,biokartoffeln,nacht,2015-05-21T00:00:00Z,2015-06-01T00:00:00Z,standard v1,66,15,0/180,1.8,2015-06-11T00:00:00Z,2015-07-01T00:00:00Z,standard v1,50,15,0/180,141,nein,ja 2x datum ?,hoch,ja,47.60209166666667,8.209636111111111
WSS_2015_03,"47° 0'53.10""N "," 7° 2'23.76""E",fanel,fanelacher,weizen,nacht,2015-05-22T00:00:00Z,2015-06-12T00:00:00Z,standard v1,50,15,140/320,1.8,2015-06-12T00:00:00Z,2015-07-01T00:00:00Z,aggressiv v2,75,15,140/320,210,nein,NA,gering,nein,47.01475,7.039933333333333
WSS_2015_04,"47° 0'39.64""N "," 7° 2'50.46""E",fanel,gampelenmoos,weizen&kartoffeln,nacht,2015-05-27T00:00:00Z,2015-06-12T00:00:00Z,standard v1,50,30,200/270,2,2015-06-12T00:00:00Z,2015-07-01T00:00:00Z,standard v1,75,15,130/310,330,nein,NA,gering,ja,47.01101111111111,7.04735
WSS_2015_05a,"47°30'20.40""N "," 8° 6'36.53""E",elfingen,schlotterbode,weizen&gerste,nacht,2015-06-10T00:00:00Z,2015-07-08T00:00:00Z,aggressiv 2,75,15,170/350,1.95,NA,NA,NA,NA,NA,NA,87,nein,NA,mittel,ja,47.50566666666667,8.110147222222222
WSS_2015_05b,"47°30'18.60""N "," 8° 6'37.91""E",elfingen,schlotterbode,weizen&gerste,nacht,2015-06-10T00:00:00Z,2015-06-26T00:00:00Z,aggressiv 2,75,10,250/90,1.7,2015-06-26T00:00:00Z,2015-07-08T00:00:00Z,aggressiv 2,75,20,250/90,50,nein,NA,mittel,nein,47.50516666666667,8.110530555555556
WSS_2015_06,"47°29'57.96""N "," 8° 7'22.57""E",elfingen,steiacher,gerste,nacht,2015-06-04T00:00:00Z,2015-07-04T00:00:00Z,standard v2,75,12.5,40/220,1.9,NA,NA,NA,NA,NA,NA,35,nein,NA,mittel,ja,47.499433333333336,8.122936111111112
WSS_2015_07,"47°29'42.52""N "," 8° 7'51.06""E",elfingen,rueti_2,gerste&weizen,nacht,2015-06-04T00:00:00Z,2015-07-08T00:00:00Z,standard v1,50,15,100/280,1.8,NA,NA,NA,NA,NA,NA,15,nein,NA,mittel,ja,47.49514444444444,8.13085
WSS_2015_08,"47°35'56.35""N "," 8°12'26.88""E",felsenau,giselirai,kartoffeln,nacht,2015-06-16T00:00:00Z,2015-07-14T00:00:00Z,aggressiv v2,33,15,80/260,1.8,2015-08-12T00:00:00Z,2015-09-07T00:00:00Z,aggressiv v2,50,15,80/260,65,nein,NA,hoch,nein,47.59898611111112,8.207466666666665
WSS_2015_09,"47°33'55.33""N "," 8°11'26.42""E",felsenau,wolfberg,weizen,nacht,2015-06-16T00:00:00Z,2015-06-26T00:00:00Z,aggressiv v2,25,30,26/260,2,2015-06-26T00:00:00Z,2015-07-14T00:00:00Z,aggressiv v2,25,30,26/260,75,nein,NA,mittel,ja,47.56536944444444,8.190672222222222
WSS_2015_10,"47°33'56.93""N "," 8°12'11.76""E",felsenau,oberi tierhalde,weizen,nach,2015-06-16T00:00:00Z,2015-07-08T00:00:00Z,standard v1,50,40,60/240,1.75,NA,NA,NA,NA,NA,NA,97,nein,NA,mittel,ja,47.56581388888888,8.203266666666666
